ano,sexo,n
2019,Feminino,2911
2019,Ignorado,3
2019,Masculino,2739
2020,Feminino,817179
2020,Ignorado,1397
2020,Ignorado/Branco,6
2020,Masculino,669735
2021,Feminino,552222
2021,Ignorado,1022
2021,Ignorado/Branco,6
2021,Masculino,471066
2022,Feminino,762493
2022,Ignorado,1411
2022,Ignorado/Branco,25
2022,Masculino,642623
2023,Feminino,885085
2023,Ignorado,2356
2023,Ignorado/Branco,6
2023,Masculino,758116
2024,Feminino,3581724
2024,Ignorado,9839
2024,Ignorado/Branco,13
2024,Masculino,2975555
2025,Feminino,888536
2025,Ignorado,1179
2025,Ignorado/Branco,2
2025,Masculino,746421
2026,Feminino,210295
2026,Ignorado,355
2026,Masculino,178225
